,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
11770,Criminal Damage to Vehicle,850 E. 56th St.,2/14/19 10:40 PM,2/14/19 2:20 PM to 10:30 PM,Windshield and side window of car parked on the street shattered with cinder block,Open,19-00166
11771,Found Property,1050 E. 59th St. (Wieboldt Hall),2/14/19 9:41 PM,2/14/19 7:00 PM,UCPD officer found an unattended bag containing personal items / Held for safekeeping,Closed,19-00167
11772,Theft,1307 E. 60th St. (Keller Center),2/15/19 8:47 AM,2/14/19 to 2/15/19 2:00 PM to 8:30 AM,Coat taken from a bag left unsecured and unattended in the hallway,Open,19-00168
11773,Found Narcotics,6300 S. University (Woodlawn Charter School),2/15/19 3:53 PM,2/15/19 3:53 PM,A small baggie containing marijuana was found and turned over to UCPD for proper disposal,Closed,19-00169
11774,DUI,811 E. 55th St.,2/16/19 12:13 AM,2/16/19 12:13 AM,UCPD officer arrested a motorist for DUI,Arrest,19-00170
11775,Liquor Law Violation,6000 S. Ellis (UC Shuttle Bus),2/16/19 3:32 AM,2/16/19 3:32 AM,An underage individual became ill after consuming alcoholic beverages was transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00171
11776,Theft from Motor Vehicle,6019 S. Ingleside (Parking Lot),2/16/19 1:13 PM,1/25/19 to 1/26/19 5:00 PM to 2:00 PM,Catalytic converter taken from vehicle parked in the parking lot,Open,19-00172
11777,Information / Battery,5516 S. Kimbark (Public Way),2/16/19 6:09 PM,2/16/19 6:00 PM,"Victim walking on the sidewalk off campus was pushed to the ground and slapped by two unknown suspects, who then fled on foot / Referred to CPD",Referred,19-00173
11778,Theft from Person,944 E. 57th St. (Public Way),2/16/19 6:45 PM,2/16/19 6:43 PM,Two suspects snatched a cell phone from the hand of a victim standing on the sidewalk / UCPD officers arrested the two suspects on the sidewalk at 6120 S. Ellis and recovered the victim's phone,Arrest,19-00174
11779,Medical Call,930 E. 55th St. (Public Way),2/17/19 12:14 AM,2/17/19 12:14 AM,Sick person transported to UCMED by CFD EMS for evaluation and treatment,Closed,19-00175
11780,Injured Person,850 E. 61st St. (UCPD HQ),2/17/19 10:01 PM,4/22/18 11:00 AM,Delayed report of accidental injury of UC staff member,Closed,19-00176
11781,Information,5801 S. Ellis (Levi Hall),2/18/19 7:28 AM,2/17/19 to 2/18/19 7:00 AM to 7:00 AM,"Cardboard boxes, discarded clothing and personal items found in exterior stairwell / Facilities notified",Closed,19-00177
11782,Mental Health Transport,5734 S. Ellis (Hinds Lab),2/18/19 11:41 AM,2/18/19 11:41 AM,Individual transported to UCMED for evaluation,Closed,19-00178
11783,Theft,6025 S. Ellis (Cathey Dining Hall),2/18/19 1:24 PM,2/17/19 8:30 PM to 8:45 PM,Unattended cell phone placed on table top was taken by an unknown person / Phone returned to owner / No crime occurred,Unfounded,19-00179
11784,Theft,1346 E. 53rd St. (Target),2/18/19 6:14 PM,2/18/19 6:14 PM,A subject took merchandise from off campus store without paying / Arrested by UCPD officers,Arrest,19-00180
11785,Information,6300 S. University (Woodlawn Charter School),2/19/19 9:55 AM,2/14/19 to 2/15/19 10:40 AM to 3:45 PM,Dispute between two individuals documented / Handled by school administration,Closed,19-00181
11786,Theft,1307 E. 60th St. (Keller Center),2/19/19 1:46 PM,12/21/2018 9:00 AM to 5:00 PM,Parcel containing laptop computer taken by an unknown person / Laptop was located in storage / No theft occurred,Unfounded,19-00182
11787,Robbery,5505 S. Ellis (Parking Structure),2/19/19 9:18 PM,2/19/19 9:15 PM,Victim walking in parking structure was approached by three suspects who forcibly took the victim's cell phone and wallet / UCPD officers arrested two suspects at 57th & University / Victim's wallet and cell phone recovered,Arrest,19-00183
11788,Information / Armed Robbery,5700 S. Dorchester (Public Way),2/19/19 11:00 PM,2/19/19 10:40 PM,"Three suspects, one armed with a handgun, took a wallet and cell phone from a victim walking on the sidewalk off campus before fleeing on foot / CPD case JC158837",CPD,19-00184
11789,Stalking,57th & Woodlawn,2/20/19 12:05 PM,1/1/17 and various other dates,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-008
11790,Criminal Trespass to Land,5706 S. University (Reynolds Club),2/20/19 1:51 PM,2/20/19 1:51 PM,An unauthorized subject ignored previous warnings and was arrested by UCPD for trespass,Arrest,19-00185
11791,Found Property,850 E. 61st St. (UCPD HQ),2/20/19 12:45 PM,2/19/19 8:00 PM,First transit supervisor turned over a wallet found on a UC Shuttle bus / Inventoried for safekeeping,Closed,19-00186
11792,Criminal Sexual Assault,1330 E. 53rd St. (Vue 53 RH),2/20/19 3:06 PM,2/20/19 time not specified,"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report 19-009
11793,Traffic Crash / Hit & Run,5420 S. Lake Park (HP Shopping Center),2/20/19 2:05 PM,2/20/19 2:00 PM,Unknown motorist struck a vehicle and also a wrought iron fence in the shopping center parking lot before driving off / 2019-MVA00041 / No injuries reported,Open,19-00187
11794,Possession of Narcotics,1369 E. Hyde Park (Parking Lot),2/20/19 10:42 PM,2/20/19 10:40 PM,UCPD officers confiscated a small quantity of marijuana found off campus - under ten grams - / Narcotic inventoried at UCPD for proper disposal,Closed,19-00188
11795,Information / Shots Fired / Damage to Property,4625 S. Drexel (Public Way),2/21/19 1:12 AM,2/21/19 1:00 AM,Shots fired off campus by unknown person(s) damaging two unoccupied vehicles parked at the curb / No injuries reported / CPD case JC160081,CPD,19-00189
11796,DUI,1756 E. 55th St.,2/21/19 1:14 AM,2/21/19 1:14 AM,A UCPD officer arrested a motorist for DUI,Arrest,19-00190
11797,Medical Call,6031 S. Ellis (Granville-Grossman RH),2/21/19 5:16 AM,2/21/19 5:16 AM,A sick person was transported by CFD EMS to the UCMED for evaluation and treatment,Closed,19-00191
11798,Harassment by Electronic Means,5730 S. Ellis (Crerar Library),2/21/19 8:31 AM,10/31/18 to 2/17/19 Various times,An individual reports receiving annoying text messages from an acquaintance,Closed,19-00192
11799,Theft,1100 E. 57th St. (Regenstein Library),2/21/19 11:00 AM,2/21/19 11:00 AM,A wallet was found and turned over to UCPD / Officers found several credit cards in the wallet that had been stolen at various locations over a period of time / Owner of wallet called seeking wallet / Owner of wallet arrived at UCPD HQ and was arrested for theft of the credit cards,Arrest,19-00193
11800,Found Property,5700 S. Woodlawn,2/21/19 2:33 PM,2/20/19 8:00 PM,Wallet found and turned over to UCPD for safekeeping,Closed,19-00194
11801,Information,5758 S. Maryland (DCAM),2/21/19 3:52 PM,2/18/19 12:00 PM,Irate patient caused a disturbance / Peace restored,Closed,19-00195
11802,Lost Property,5730 S. Ellis (Crerar Library),2/22/19 12:54 PM,2/22/19 12:10 PM to 12:50 PM,Person reported losing wallet while in the building,Closed,19-00196
11803,Information / Reckless Driving,1250 E. 59th St. (Park Dist. Property),2/22/19 3:46 PM,2/22/19 3:45 PM,A person reported seeing a motorist drive over the curb and drive on grassed area of the Midway in an apparent attempt to avoid traffic congestion / Suspect gone prior to police notification,Closed,19-00197
11804,Traffic Crash,5835 S. Kimbark (Parking Lot),2/22/19 4:44 PM,2/22/19 4:40 PM,UC owned vehicle involved in property damage accident / No injuries reported / 2019-MVA00198,Closed,19-00198
11805,Medical Call,5500 S. Ellis (Public Way),2/22/19 7:19 PM,2/22/19 7:19 PM,A sick person was transported to the UCMED by CFD EMS for treatment,Closed,19-00199
11806,Theft,5841 S. Maryland (Bridge way),2/23/19 12:29 PM,2/23/19 11:50 AM to 12:20 PM,"Unattended, unsecured jacket taken from railing on bridge way between buildings",Open,19-00200
11807,Information,5700 S. Maryland (CCD),2/23/19 2:56 PM,2/23/19 2:56 PM,Information relating to treatment of a person who swallowed an unknown substance,Closed,19-00201
11808,Found Narcotics,5815 S. Maryland (Mitchell Hospital),2/23/19 8:26 PM,2/23/19 8:26 PM,Staff member turned over a small amount of narcotics that was found in a patient's room / Inventoried at UCPD for proper disposal,Closed,19-00202
11809,Liquor Law Violation,1009 E. 57th St. (Snell-Hitchcock RH),2/23/19 10:28 PM,2/23/19 10:28 PM,An underage individual became ill after consuming alcoholic beverages transported to UCMED by CFD EMS,Referred,19-00203
11810,Medical Call,5501 S. Ellis (Public Way),2/24/19 1:58 AM,2/24/19 1:58 AM,Sick person transported to UCMED by CFD EMS for evaluation and treatment,Closed,19-00204
11811,Information / Damage to Vehicle,5734 S. Ellis (Public Way),2/24/19 6:50 AM,2/18/19 11:40 AM,Report of minor damage to UC owned vehicle,Closed,19-00205
11812,Theft,5700 S. Maryland (Staff Locker Room),2/24/19 11:10 AM,2/24/19 7:00 AM to 10:45 AM,Wallet taken from unsecured locker in staff locker room,Open,19-00206
11813,Theft of Motor Vehicle,5250 S. Blackstone (Public Way),2/24/19 2:56 PM,2/24/19 2:00 PM,5 suspects drove off in a car that the owner left parked with the motor running off campus / Suspects crashed car in lot at 1350 E. 55th St and fled on foot / 4 juvenile suspects arrested by UCPD officers,Arrest,19-00207
11814,Found Narcotics,5700 S. Maryland (CCD),2/24/29 11:10 PM,2/24/19 10:50 PM,Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Closed,19-00208
11815,Burglary,1156 E. 61st St. (Woodlawn Commons Constr. Site),2/25/19 11:32 AM,2/22/19 to 2/25/19 4:30 PM to 8:00 AM,Unknown persons forced entry by cutting locks and fence / Suspects took copper tubing and copper wire from site,Open,19-00209
11816,Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),2/25/19 4:44 PM,2/25/19 4:44 PM,Individual transported to UCMED for evaluation,Closed,19-00210
11817,Information / Sex Crime,850 E. 61st St. (UCPD HQ),2/25/19 9:07 PM,2011 to 2015 Various dates and times,An individual reported to UCPD that daughter had been sexually abused in another area of the city of Chicago over a period of time / Patient admitted to Comer ER for examination / Referred to CPD,CPD,19-00211
11818,Deceptive Practice / Forgery,5815 S. Maryland (Mitchell Hospital),2/26/19 10:48 AM,11/18/18 to 2/26/19 Various times,Physician reports fraudulent prescriptions written using his name and DEA number presented to pharmacies outside of UCPD area / DEA notified,Open,19-00212
11819,Stalking,1100 E. 57th St. (Regenstein Library,2/26/19 12:05 PM,2/25/19 8:30 PM,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-010
11820,Theft from Motor Vehicle,5505 S. Ellis (Parking Structure),2/26/19 5:15 PM,2/26/19 7:55 AM to 5:10 PM,Unknown person smashed passenger's side rear window in car parked in lower level and took coins,Open,19-00213
11821,Theft from Motor Vehicle,5505 S. Ellis (Parking Structure),2/26/19 6:53 PM,2/26/19 8:00 AM to 6:50 PM,Unknown person entered vehicle parked on the 3rd floor and took coins,Open,19-00214
11822,Theft,1118 E. 58th St. (Eckhart Hall Bike Rack),2/27/19 9:46 AM,2/27/19 8:30 AM to 9:20 AM,Unsecured bicycle taken from bike rack,Open,19-00215
11823,Medical Call,4444 S. Evans (Woodson Charter School),2/27/19 12:54 PM,2/26/19 5:30 PM,An individual was accidently struck in the face by a basketball while standing at court side during a basketball game / Declined medical attention,Closed,19-00216
11824,Information / Robbery,1369 E. Hyde Park (Public Way),2/27/19 8:47 PM,2/27/19 8:45 PM,Two unknown suspects approached a person walking on the sidewalk off campus and forcibly took the victim's wallet and cell phone before fleeing on foot / CPD case JC168288,CPD,19-00217
11825,Theft from Motor Vehicle,5505 S. Ellis (Parking Structure),2/28/19 6:12 PM,2/24/19 to 2/28/19 9:00 AM to 6:10 PM,Unknown person smashed window of vehicle parked on the lower level and took coins from the car,Open,19-00218
11826,Injured Person,5500 S. University (Campus North RH),2/28/19 6:41 PM,2/28/19 6:35 PM,"Individual slipped on first floor stairs, fell complained of injuries to head and neck / Transported to UCMED by CFD EMS for evaluation and treatment",Closed,19-00219
11827,Stalking,5730 S. Ellis (Crerar Library),2/28/19 5:31 PM,February 2019 Various dates and times,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-011
11828,Lost Property,5700 S. Maryland (CCD),3/1/19 12:54 AM,3/1/19 12:15 AM to 12:50 AM,Person reported losing keys and wallet while in the building,Closed,19-00220
11829,Assist Other Agency,5140 S. Kenwood (Public Way),3/1/19 2:40 PM,3/1/19 2:40 PM,UCPD officers assisted CPD with a shots fired call off campus / No persons were injured or property damaged / A handgun was found and turned over to CPD / CPD case JC170117,CPD,19-00221
11830,Traffic Crash / Property Damage,5422 S. Lake Park (H.P. Shopping Center),3/1/19 4:14 PM,3/1/19 3:35 PM,A vehicle crashed into a concrete pillar in the shopping center / No injuries reported / 2019 MVA00047,Closed,19-00222
11831,Theft,1009 E. 57th St. (Snell-Hitchcock RH Bike Rack),3/1/19 5:00 PM,2/14/19 to 3/1/19 7:00 PM to 5:00 PM,Secured bicycle taken from bike rack,Open,19-00223
11832,Found Property,5710 S. Woodlawn,3/1/19 5:50 PM,3/1/19 5:50 PM,Individual found a pocket knife and turned it over to UCPD,Closed,19-00224
11833,Theft,1462 E. 53rd St.,3/1/19 8:54 PM,2/27/19 4:30 PM to 5:00 PM,Secured bicycle taken from off campus bike rack,Open,19-00225
11834,Information / Armed Robbery,5414 S. Greenwood (Public Way),3/1/19 8:47 PM,3/1/19 8:45 PM,"Three subjects, one armed with a handgun, took a purse from a person walking on the sidewalk off campus before fleeing in a waiting vehicle / CPD case JC170568",CPD,19-00226
11835,Medical Call,57th St. between Kimbark & Kenwood,3/2/19 2:02 AM,3/2/19 2:02 AM,Sick person transported to UCMED for evaluation and treatment,Closed,19-00227
11836,Liquor Law Violation,5625 S. Ellis (Max Palevsky RH),3/2/19 3:02 AM,3/2/19 3:02 AM,An underage individual became ill after consuming alcoholic beverages / Examined by CFD EMS,Referred,19-00228
11837,Found Narcotics,1600 E. 52nd St. (Metra Platform),3/2/19 10:24 AM,3/2/19 10:24 AM,UCPD officer found two small packets of marijuana / Substance inventoried for proper disposal,Closed,19-00229
11838,Injured Person,1025 E. 58th St. (Swift Hall),3/2/19 1:54 PM,3/2/19 1:30 PM,Person tripped over the leg of a TV stand and fell to the floor / Individual complained of pain in left knee and hand / Declined medical assistance,Closed,19-00230
